GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°C),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometric pressure (from vehicle)(psi),Cost per mile/km (Instant)($/km),Cost per mile/km (Trip)($/km),Distance to empty (Estimated)(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Rail Pressure(psi),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Sun Feb 04 16:49:46 GMT+05:30 2018,04-Feb-2018 16:49:45.736,77.59311427,12.86033973,0.0,10.72,821.21875,0.0,-0.0080901,0.16275263,0.55879676,0.7027896,-,4,4,13.05339622,-,-,-,-,35,3.49491692,25.09803963,1042.75,-,-,-,-,-,-,-,10.72000027,821.21875,0,12.86034012,77.59311676,10,4.6867609,31,3.77098107,10.56899071,7.23727655,9.46144485,13.81706524,2.8599999,29.85590553,20.44428444,0,11,15.29411793,-,10.56899071,9.46144485,29.85590553,0.02022333,15.89663887,8,8.07800007,0,-9.28241539,14.30000019,51
Sun Feb 04 16:49:51 GMT+05:30 2018,04-Feb-2018 16:49:50.737,77.5931149,12.86034099,0.0,6.432,820.943115234375,0.0,0.03077378,0.13084139,0.79797399,0.53866041,-,7,7,13.05339622,-,-,-,-,36,1.13486207,86.66667175,550,-,-,-,-,-,-,-,6.43200016,820.94311523,0,12.86034107,77.59311676,13,1.52187514,31,7.3969245,13.74344063,7.23988199,7.27604723,13.81209183,7.40999985,38.82327652,20.4516449,0,8,23.52941132,19.70345688,12.15621567,8.22607327,34.33959198,0.02987792,15.90629387,12,12.96000004,0,-5.65647173,14.30000019,50
Sun Feb 04 16:49:56 GMT+05:30 2018,04-Feb-2018 16:49:55.736,77.59316878,12.86036686,3.4,4.288,816.0322265625,191.9,-0.13268642,-0.12633374,0.64226431,0.46855554,-,8.25,8.25,13.05339622,-,-,-,0,37,2.2538681,47.84313965,1099,-,-,-,-,-,-,-,4.28800011,816.03222656,191.8999939,12.86036682,77.59317017,14,3.02248693,31,5.22135878,6.30822849,7.23950911,15.85198116,13.81280327,3.57999992,17.81985474,20.45059204,12.23999977,15,16.07843208,19.70345688,10.20688629,9.79710293,28.83301163,0.04736236,15.92377853,18,17.83399963,0,-7.83203745,14.39999962,62
Sun Feb 04 16:50:01 GMT+05:30 2018,04-Feb-2018 16:50:00.736,77.59330252,12.86041611,2.67,4.288,814.28955078125,189.8,0.12132596,-0.10839651,0.95191199,0.4819167,-,10.4285717,10.4285717,13.05339622,-,-,220.87397766,0,37,0.97657883,24.70588303,768.75,0.00086509,-,-,-,-,46.93692398,0.00102987,4.28800011,814.28955078,189.80000305,12.86041641,77.59329987,17,1.30961382,31,5.07632065,17.73459053,7.24370909,5.6385808,13.80479527,2.54999995,50.09771347,20.46245384,9.61200047,13,16.07843208,12.13065434,12.08881283,8.27193928,34.149189,0.06463431,15.94104958,22,22.875,0,-7.97707558,14.39999962,59
Sun Feb 04 16:50:06 GMT+05:30 2018,04-Feb-2018 16:50:05.736,77.59346652,12.86041347,2.79,5.36,807.9290771484375,190.7,-0.09694556,0.04249285,0.51913792,0.63731992,-,10.625,10.625,13.05339622,-,-,220.87397766,0,39,-,48.62745285,1191,0.00086509,-,-,-,-,46.93692398,0.00102987,5.36000013,807.92907715,190.69999695,12.86041355,77.59346771,14,-,31,3.91601896,17.73459053,7.24370909,5.6385808,13.80479527,3.57999992,50.09771347,20.46245384,10.04399967,9,15.29411793,12.13065434,12.08881283,8.27193928,34.149189,0.08257958,15.95899487,28,28.06900024,0,-9.13737679,14.19999981,59
Sun Feb 04 16:50:11 GMT+05:30 2018,04-Feb-2018 16:50:10.736,77.59362434,12.8605206,3.08,4.288,814.383544921875,91.7,-0.13909629,0.10259163,0.4293257,0.63878512,-,10.54545498,10.54545498,13.05339622,-,0.01892693,221.04985046,0,39,1.87492692,36.86274719,986.75,0.000991,0.05561541,0.92692357,-,-,46.9366951,0.00117977,4.28800011,814.38354492,91.69999695,12.86052036,77.59362793,21,2.51431847,31,5.94654703,12.89306164,7.24756765,7.75594854,13.7974453,2.63000011,36.42107773,20.47335434,11.08799934,13,16.86274529,18.1442585,12.08215714,8.27649498,34.13038635,0.09516223,15.97157764,33,33.25699997,0,-7.10684919,14.30000019,46
Sun Feb 04 16:50:16 GMT+05:30 2018,04-Feb-2018 16:50:15.736,77.59364675,12.86076658,3.23,3.216,816.1517333984375,1.4,-0.09064778,0.11918809,0.43524411,0.68912202,-,10.83333302,10.83333302,13.05339622,0.14942168,0.03632262,221.18055725,0,40,1.0502404,29.41176605,974,0.00226967,0.79699254,13.28320885,-,-,46.93435287,0.00270199,3.21600008,816.1517334,1.39999998,12.86076641,77.59364319,21,1.40839553,31,4.49617004,17.73459053,7.25414467,5.6385808,13.78493595,2.6099999,50.09771347,20.49193382,11.62799931,13,15.68627453,9.26024055,12.93134689,7.7329855,36.52922821,0.11437,15.9907856,38,37.95000076,0,-8.55722618,14.30000019,47
Sun Feb 04 16:50:21 GMT+05:30 2018,04-Feb-2018 16:50:20.735,77.59366895,12.86095645,3.99,3.216,815.5908203125,2.3,0.35504809,0.20973291,0.44341946,1.16265309,-,11.53333378,11.53333378,13.05339622,0.07570773,0.04159386,221.3019104,0,42,0.69454396,22.74509811,1092,0.00301629,0.79796088,13.29934788,-,-,46.93298721,0.00359083,3.21600008,815.59082031,2.29999995,12.86095619,77.59366608,13,0.93139875,31,3.33586788,18.41669273,7.25860262,5.42974377,13.77647018,2.1099999,52.02455139,20.50452805,14.36399937,15,14.90196133,-,13.54082966,7.38491821,38.25093079,0.1323964,16.00881195,43,43.15100098,0,-9.71752834,14.30000019,47
Sun Feb 04 16:50:26 GMT+05:30 2018,04-Feb-2018 16:50:25.737,77.59367956,12.86116109,4.14,9.648001,813.6920166015625,1.3,-0.08683864,0.09539309,0.33359352,0.74433988,-,11.94117641,11.94117641,13.05339622,0.07570773,0.04159386,221.3019104,0,42,-,20,1019.75,0.00301629,0.79796088,13.29934788,-,-,46.93298721,0.00359083,9.64800072,813.6920166,1.29999995,12.86116123,77.59368134,16,-,31,3.62594342,20.31827354,7.26381588,4.92157555,13.76658249,1.94000006,57.39625168,20.51925468,14.90399933,14,15.29411793,-,14.21857452,7.03290749,40.16546249,0.15581265,16.03222847,48,48.14699936,0,-9.42745304,14.30000019,49
Sun Feb 04 16:50:31 GMT+05:30 2018,04-Feb-2018 16:50:30.736,77.59370705,12.8613011,3.46,10.72,815.8232421875,3.0,-0.09304764,-0.04933364,0.55788213,0.61297584,-,11.94736862,11.94736862,13.05339622,0.34321105,0.0586969,221.69274902,0,43,-,24.70588303,903,0.00613856,2.29469061,38.24484253,-,-,46.92726517,0.00730781,10.72000027,815.82324219,3,12.86130142,77.59370422,15,-,31,9.28241539,5.57531691,7.26716614,17.93582726,13.76023579,6.38000011,15.74948311,20.52871895,12.45599937,13,20.7843132,-,13.75937748,7.26761913,38.86829758,0.16830666,16.0447216,53,53.25600052,0,-3.77098083,14.39999962,55
