GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°C),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometric pressure (from vehicle)(psi),Cost per mile/km (Instant)($/km),Cost per mile/km (Trip)($/km),Distance to empty (Estimated)(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Rail Pressure(psi),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Sun Feb 04 14:05:49 GMT+05:30 2018,04-Feb-2018 14:05:48.366,77.59418165,12.87308085,0.0,3.216,825.557861328125,0.0,0.01511139,-0.05360486,0.56434965,0.74165517,-,9,2.25,-,0.1291928,0.0969435,305.94897461,-,83,-,-,677.25,-,3.24713612,54.11893463,-,-,49.78079605,-,3.21600008,825.55786133,0,12.87308121,77.59418488,9,-,32,4.06105661,0,9.46209908,-,10.56825924,-,0,26.72909355,0,0,9.8039217,-,10.15803146,9.84422302,28.69500351,0.00500806,1.98829269,18,4.78999996,13.99699974,-10.63894272,14.10000038,-
Sun Feb 04 14:05:50 GMT+05:30 2018,04-Feb-2018 14:05:49.360,77.59418167,12.87308046,0.0,3.216,825.579833984375,0.0,-0.059106,-0.07099459,0.56068814,0.6518414,-,9,1.79999995,-,0.1291928,0.0969435,305.94897461,-,83,-,-,677.25,-,3.24713612,54.11893463,-,-,49.78079605,-,3.21600008,825.57983398,0,12.87308025,77.59418488,9,-,32,4.06105661,0,9.46209908,-,10.56825924,-,0,26.72909355,0,0,9.8039217,-,10.15803146,9.84422302,28.69500351,0.00500806,1.98829269,19,4.78999996,15.15400028,-10.63894272,14.10000038,-
Sun Feb 04 14:05:51 GMT+05:30 2018,04-Feb-2018 14:05:50.359,77.5941816,12.87308027,0.0,3.216,825.58740234375,0.0,0.02299486,-0.07959768,0.59870136,0.72524226,-,9,1.5,-,0.1291928,0.0969435,305.94897461,-,83,-,-,516,-,3.24713612,54.11893463,-,-,49.78079605,-,3.21600008,825.58740234,0,12.87308025,77.59418488,12,-,32,5.07632065,0,9.460042,-,10.57055759,-,0,26.72328186,0,0,9.8039217,-,9.99679279,10.00300026,28.23952675,0.00500806,1.98829269,21,4.78999996,16.24600029,-9.62367916,14.10000038,-
Sun Feb 04 14:05:52 GMT+05:30 2018,04-Feb-2018 14:05:51.358,77.59418161,12.87308016,0.0,3.216,825.58544921875,0.0,0.03772559,-0.07898639,0.54037112,0.781986,-,9,1.5,-,0.1291928,0.0969435,305.94897461,-,83,-,-,516,-,3.24713612,54.11893463,-,-,49.78079605,-,3.21600008,825.58544922,0,12.87308025,77.59418488,8,-,32,5.07632065,0,9.460042,-,10.57055759,-,0,26.72328186,0,0,9.8039217,-,9.99679279,10.00300026,28.23952675,0.00500806,1.98829269,21,4.78999996,16.99200058,-9.62367916,14,-
Sun Feb 04 14:05:53 GMT+05:30 2018,04-Feb-2018 14:05:52.358,77.59418157,12.87308015,0.0,3.216,825.586181640625,0.0,0.01557583,-0.05610599,0.53939426,0.75825167,-,9,1.5,-,0.1291928,0.0969435,306.10443115,-,83,-,-,780.25,0.00037712,3.24713612,54.11893463,-,-,49.78010559,0.00044895,3.21600008,825.58618164,0,12.87308025,77.59418488,13,-,32,3.62594342,0,9.45799446,-,10.57284641,-,0,26.71749687,0,0,9.8039217,-,9.87778282,10.12351894,27.90334129,0.00500806,1.98829269,22,4.78999996,18.16799927,-11.07405663,14,-
Sun Feb 04 14:05:54 GMT+05:30 2018,04-Feb-2018 14:05:53.358,77.59418156,12.8730808,0.0,3.216,825.44873046875,0.0,0.00018167,-0.03353045,0.62359446,0.6808238,-,9,1.28571427,-,0.1291928,0.0969435,306.10443115,-,83,-,-,780.25,0.00037712,3.24713612,54.11893463,-,-,49.78010559,0.00044895,3.21600008,825.44873047,0,12.87308121,77.59418488,13,-,32,3.62594342,0,9.45799446,-,10.57284641,-,0,26.71749687,0,0,9.8039217,-,9.87778282,10.12351894,27.90334129,0.00500806,1.98829269,23,4.78999996,18.99300003,-11.07405663,14,-
Sun Feb 04 14:05:55 GMT+05:30 2018,04-Feb-2018 14:05:54.359,77.59418159,12.87308077,0.0,4.288,825.4827880859375,0.0,0.01570648,-0.02169361,0.67356586,0.65946925,-,9,1.28571427,-,0.1291928,0.0969435,306.10443115,-,83,-,-,780.25,0.00037712,3.24713612,54.11893463,-,-,49.78010559,0.00044895,4.28800011,825.48278809,0,12.87308121,77.59418488,11,-,32,3.62594342,0,9.45799446,-,10.57284641,-,0,26.71749687,0,0,9.8039217,-,9.87778282,10.12351894,27.90334129,0.00500806,1.98829269,24,4.78999996,19.99600029,-11.07405663,12.80000019,-
Sun Feb 04 14:05:56 GMT+05:30 2018,04-Feb-2018 14:05:55.358,77.5941816,12.87308077,0.0,4.288,825.4827880859375,0.0,-0.00734218,-0.04567371,0.50968087,0.75019759,-,7,1.75,-,0.1291928,0.42273664,306.02761841,-,84,-,-,731.5,0.0013155,1.51302445,25.21707535,-,-,49.77838516,0.00156607,4.28800011,825.48278809,0,12.87308121,77.59418488,11,-,32,5.94654703,0,9.45595646,-,10.57512474,-,0,26.71174049,0,5,9.8039217,-,9.78370857,10.22086048,27.63759613,0.00500806,1.98829269,25,4.98999977,20.99300003,-8.7534523,12.80000019,-
Sun Feb 04 14:05:57 GMT+05:30 2018,04-Feb-2018 14:05:56.358,77.59418199,12.87308071,0.0,5.36,825.42626953125,0.0,0.01658989,-0.06312254,0.48112625,0.79290664,-,7,1.75,-,0.1291928,0.42273664,306.02761841,-,84,-,-,731.5,0.0013155,1.51302445,25.21707535,-,-,49.77838516,0.00156607,5.36000013,825.42626953,0,12.87308025,77.59418488,12,-,32,5.94654703,0,9.45595646,-,10.57512474,-,0,26.71174049,0,5,9.8039217,-,9.78370857,10.22086048,27.63759613,0.00500806,1.98829269,26,5.79500008,20.99300003,-8.7534523,14,-
Sun Feb 04 14:05:58 GMT+05:30 2018,04-Feb-2018 14:05:57.359,77.59418226,12.87308056,0.0,5.36,825.37353515625,0.0,-0.00920975,-0.04945652,0.55068362,0.72176433,-,7,1.75,-,∞,0.59525222,305.95562744,-,84,-,-,817.75,0.00185234,0.93412811,15.56880188,-,-,49.77740097,0.00220517,5.36000013,825.37353516,0,12.87308025,77.59418488,14,-,32,3.91601896,5.35249233,9.43747234,18.68249702,10.59583759,-,15.12003422,26.65952682,0,5,9.8039217,-,9.04517269,11.05539036,25.55133629,0.00500806,1.98829269,28,7.08500004,20.99300003,-10.78398132,14,-
