GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°C),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometric pressure (from vehicle)(psi),Cost per mile/km (Instant)($/km),Cost per mile/km (Trip)($/km),Distance to empty (Estimated)(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Rail Pressure(psi),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Sun Feb 04 15:38:25 GMT+05:30 2018,04-Feb-2018 15:38:25.039,77.59297423,12.86031552,0.0,4.288,831.147216796875,0.0,0.00323495,-0.08484415,0.43493924,0.79967904,28,-,0,-,-,-,-,-,60,-,22.74509811,803,-,-,-,-,-,-,-,4.28800011,831.1472168,0,12.86031532,77.5929718,17,-,31,5.36639643,0,7.27761221,-,13.74048519,-,0,20.55822563,0,2,7.84313726,-,-,-,-,-,7.37514877,0,0,0,-9.33360291,14,-
Sun Feb 04 15:38:30 GMT+05:30 2018,04-Feb-2018 15:38:30.030,77.59296449,12.86037221,3.48,5.36,827.64794921875,344.7,-0.13368256,-0.15324117,0.2000939,0.72853667,28,9,3,-,-,-,227.44619751,0,60,4.77080679,29.41176605,1679,0.00147123,-,-,-,-,48.10066223,0.00175147,5.36000013,827.64794922,344.70001221,12.86037254,77.59296417,21,6.39775705,31,2.90075469,6.67237759,7.27424669,14.98684978,13.74684238,-,18.84852409,20.54871941,12.52799988,11,8.23529434,-,4.06517696,24.59866333,11.48355103,0.01256125,7.38771009,5,5.00099993,0,-11.79924488,14.10000038,-
Sun Feb 04 15:38:35 GMT+05:30 2018,04-Feb-2018 15:38:35.030,77.59306708,12.86050028,2.46,10.72,819.887451171875,4.5,-0.03388387,-0.02767269,0.36922535,0.79199207,28,9,3.85714293,-,-,0.26967919,227.43086243,0,60,-,13.33333397,1154,0.0021049,1.51376402,25.22940063,-,-,48.09950256,0.00250583,10.72000027,819.88745117,4.5,12.86050034,77.59306335,20,-,31,2.75571704,7.26652813,7.2742424,13.76144409,13.74685001,-,20.5269165,20.54870796,8.85599995,8,8.62745094,-,5.13229418,19.48405838,14.49800587,0.02427806,7.39942694,10,9.57999992,0,-11.94428253,14,-
Sun Feb 04 15:38:40 GMT+05:30 2018,04-Feb-2018 15:38:40.029,77.59308665,12.86052031,1.0,9.648001,817.378662109375,110.0,0.09436066,-0.12017112,0.43414596,0.89693707,28,7.66666651,4.5999999,-,0.23028767,0.21862707,227.36149597,0,61,-,19.6078434,833.5,0.00446199,1.25690675,20.94844437,-,-,48.09518433,0.0053119,9.64800072,817.37866211,110,12.86052036,77.59308624,20,-,31,4.6412077,3.97795081,7.2709589,25.13804817,13.75305843,-,11.23714924,20.53943062,3.5999999,5,8.62745094,-,5.15627003,19.39345932,14.56573486,0.03362181,7.40877056,15,15.0369997,0,-10.05879211,14.10000038,-
Sun Feb 04 15:38:45 GMT+05:30 2018,04-Feb-2018 15:38:45.030,77.59311415,12.86053208,1.03,9.648001,818.886962890625,104.7,-0.03145774,-0.11998758,0.64867115,0.60870463,28,7.28571415,4.63636351,-,0.43269077,0.23008418,227.24620056,0,62,-,29.41176605,1310,0.0050927,1.26830101,21.13834953,-,-,48.09403229,0.00606274,9.64800072,818.88696289,104.69999695,12.86053181,77.59311676,18,-,32,11.16790581,3.94221354,7.26743078,25.36593246,13.75973511,-,11.13619614,20.52946472,3.70799971,8,18.8235302,-,4.84040308,20.65900612,13.67345524,0.04048417,7.4156332,19,19.70800018,0,-3.532094,14,-
Sun Feb 04 15:38:50 GMT+05:30 2018,04-Feb-2018 15:38:50.030,77.59321443,12.86053928,0.0,9.648001,813.2022705078125,0.0,-0.05963281,0.02614215,0.44604191,0.72707301,28,8.69999981,6.21428585,-,0.9918083,0.33211693,227.07325745,0,62,-,13.33333397,920.5,0.00863041,1.63483644,27.2472744,-,-,48.08755112,0.0102743,9.64800072,813.20227051,0,12.86053944,77.59321594,23,-,32,6.23662281,7.34005642,7.26465368,13.62359047,13.76499462,-,20.73462296,20.5216198,0,11,11.76470566,-,4.79345417,20.86134911,13.54083061,0.05726347,7.43241215,24,24.91399956,0,-8.463377,14,-
Sun Feb 04 15:38:55 GMT+05:30 2018,04-Feb-2018 15:38:55.031,77.59332453,12.86056984,1.62,9.648001,816.6268310546875,89.2,-0.21862243,-0.09887726,0.14859819,0.6604445,28,8.909091,6.5333333,-,0.1559872,0.27181956,227.09443665,0,63,-,18.8235302,856.75,0.01026688,1.18619442,19.76990509,-,-,48.08455276,0.01222247,9.64800072,816.62683105,89.19999695,12.86056995,77.59332275,25,-,32,6.09158516,9.27319241,7.26679087,10.78354836,13.76094627,-,26.19545937,20.52765846,5.83199978,5,7.84313726,-,5.54711962,18.02699852,15.66982937,0.06691529,7.44206429,29,29.6439991,0,-8.60841465,14,-
Sun Feb 04 15:39:00 GMT+05:30 2018,04-Feb-2018 15:39:00.030,77.59340689,12.86055254,0.0,9.648001,818.45947265625,0.0,-0.05132712,-0.20504327,0.21986343,0.79943484,28,8.35714245,6.5,-,0.82542276,0.29168376,226.97253418,0,63,0.84592593,38.03921509,772.5,0.01244038,2.39795256,39.96587753,-,-,48.08057404,0.01480998,9.64800072,818.45947266,0,12.86055279,77.59340668,23,1.13440537,32,6.09158516,2.08507609,7.25975132,47.95888519,13.77428913,-,5.89004517,20.50777245,0,10,7.84313726,10.45672989,4.98907471,20.04337883,14.09343147,0.07688209,7.45203114,34,34.99900055,0,-8.60841465,13.30000019,-
Sun Feb 04 15:39:05 GMT+05:30 2018,04-Feb-2018 15:39:05.033,77.5935232,12.86057517,1.25,9.648001,818.2115478515625,45.6,0.14670728,-0.15684199,0.35513157,0.97857392,28,8.46666622,6.6842103,-,0.2440718,0.28258872,226.8704071,0,64,-,36.07843018,762,0.01406032,1.51374578,25.22909737,-,-,48.0776062,0.01673848,9.64800072,818.21154785,45.59999847,12.86057472,77.59352112,25,-,32,6.23662281,6.60601425,7.25928593,15.13740635,13.77517319,-,18.66105652,20.50645828,4.5,9,7.84313726,10.45672989,5.20352554,19.21733856,14.69922543,0.08890472,7.46405363,39,39.64099884,0,-8.463377,13.89999962,-
Sun Feb 04 15:39:10 GMT+05:30 2018,04-Feb-2018 15:39:10.029,77.59357677,12.86069139,2.67,9.648001,819.800048828125,14.2,-0.04070457,-0.06464842,0.81444758,0.40211058,28,8.66666698,7.090909,-,0.22572044,0.27251303,226.82904053,0,64,1.53771794,38.4313736,734.25,0.01571026,1.32278645,22.04644012,-,-,48.07458496,0.0187027,9.64800072,819.80004883,14.19999981,12.86069107,77.59357452,28,2.06211376,32,6.23662281,8.31563473,7.25930691,12.02529049,13.77513313,-,23.49049377,20.5065155,9.61200047,8,7.84313726,-,5.42202902,18.4428978,15.31646538,0.10406318,7.47921228,44,44.92599869,0,-8.463377,14.10000038,-
