GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°C),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometric pressure (from vehicle)(psi),Cost per mile/km (Instant)($/km),Cost per mile/km (Trip)($/km),Distance to empty (Estimated)(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Rail Pressure(psi),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Sun Feb 04 16:22:09 GMT+05:30 2018,04-Feb-2018 16:22:08.397,77.59305699,12.86058644,0.0,11.792,813.6016845703125,0.0,0.08178993,0.00734942,0.38161281,0.91182411,-,9,9,-,0.02219452,0.05729106,231.68742371,0,33,-,44.31372452,876,-,0.15044524,2.50742054,-,-,47.74181747,-,11.79199982,813.60168457,0,12.86058617,77.59305573,12,-,28,7.10684919,4.42570686,7.4653306,22.59479141,13.39497566,-,12.50199604,21.08850479,0,7,7.45098066,-,4.42570686,22.59479141,12.50199604,0.01588444,12.9635191,9,9.0170002,0,-7.59315062,14.10000038,-
Sun Feb 04 16:22:14 GMT+05:30 2018,04-Feb-2018 16:22:13.397,77.59305714,12.86058504,0.0,7.504,813.4986572265625,0.0,-0.05786389,0.05408704,0.42560354,0.73842144,-,7.5,7.5,-,0.02219452,0.05729106,231.65473938,0,34,-,42.74509811,910,0.00165454,0.15044524,2.50742054,-,-,47.73878479,0.00196969,7.50400019,813.49865723,0,12.86058521,77.59305573,12,-,28,7.25188684,3.40276122,7.46342325,29.38728714,13.3983984,-,9.61231995,21.08311653,0,5,7.45098066,-,3.91423392,25.54725266,11.05715847,0.02320389,12.97083855,14,14.02200031,0,-7.44811296,13.60000038,-
Sun Feb 04 16:22:19 GMT+05:30 2018,04-Feb-2018 16:22:18.395,77.59305748,12.86058455,0.0,4.288,813.509521484375,0.0,0.02462109,-0.04536884,0.48387158,0.80163264,-,5,5,-,0.02219452,0.17604248,231.50436401,0,35,0.38788041,49.80392075,940,0.00275499,0.61803126,10.3005209,-,-,47.73677063,0.00327974,4.28800011,813.50952148,0,12.86058426,77.59305573,15,0.5201562,28,7.25188684,1.40195286,7.45795774,71.32759094,13.40821838,-,3.9603188,21.06767654,0,3,7.84313726,-,2.77555156,36.02812576,7.84054136,0.02878291,12.97641754,19,19.31299973,0,-7.44811296,13.80000019,-
Sun Feb 04 16:22:24 GMT+05:30 2018,04-Feb-2018 16:22:23.399,77.59305818,12.86058498,0.0,6.432,813.5850830078125,0.0,0.08935595,-0.45568871,0.26635531,0.85251707,-,4.83333349,4.83333349,-,0.73613948,0.2460448,231.40156555,0,36,-,49.80392075,893,0.00440047,2.61285114,43.54751968,-,-,47.73375702,0.00523866,6.43200016,813.58508301,0,12.86058521,77.59305573,16,-,28,4.49617004,1.14815104,7.45499945,87.09474182,13.41353798,-,3.24336457,21.05932045,0,2,5.09803915,-,2.45007157,40.81428528,6.92110586,0.03332597,12.98096085,24,24.12599945,0,-10.92901802,15,-
Sun Feb 04 16:22:29 GMT+05:30 2018,04-Feb-2018 16:22:28.400,77.5930625,12.86058861,0.0,6.432,814.1522216796875,0.0,-0.06750087,-0.33347842,-0.08771081,0.76605994,-,4,3.55555558,-,0.15938017,0.23298299,231.21881104,0,37,-,19.2156868,844,0.00490633,0.31985262,5.33087683,-,-,47.73283005,0.00584087,6.43200016,814.15222168,0,12.86058903,77.59306335,12,-,28,4.35113192,0.74308163,7.44906998,134.57191467,13.42421532,-,2.09910059,21.04257011,0,0,4.70588255,-,2.07155943,48.27181244,5.85186243,0.03389083,12.98152542,29,26.79500008,2.22799993,-10.34886742,14,-
Sun Feb 04 16:22:34 GMT+05:30 2018,04-Feb-2018 16:22:33.399,77.59306101,12.86058937,0.0,5.36,813.99658203125,0.0,-0.00957682,0.18203376,0.28911439,0.82927114,-,4,2.909091,-,∞,0.29853633,231.10906982,0,37,-,30.58823586,606,0.0062868,1.45614231,24.26903725,-,-,47.7303009,0.00748429,5.36000013,813.99658203,0,12.86058903,77.59306335,16,-,28,7.25188684,0,7.44890356,-,13.42451477,-,0,21.04210091,0,0,4.70588255,-,2.05922866,48.56086349,5.81702995,0.03389083,12.98152542,34,26.79500008,7.39799976,-9.47864151,13.89999962,-
Sun Feb 04 16:22:39 GMT+05:30 2018,04-Feb-2018 16:22:38.399,77.59306236,12.86058932,0.0,10.72,814.139892578125,0.0,0.01177702,0.0376119,0.16824487,0.89663064,-,4,2.46153855,-,∞,0.34230334,231.08866882,0,38,-,30.58823586,772,0.00742603,1.29492378,21.58206177,-,-,47.72821426,0.00884051,10.72000027,814.13989258,0,12.86058903,77.59306335,19,-,28,5.07632065,0,7.44857168,-,13.42511272,-,0,21.0411644,0,0,4.70588255,-,2.03857923,49.05274963,5.75869846,0.03389083,12.98152542,39,26.79500008,12.22900009,-9.62367916,7.9000001,-
Sun Feb 04 16:22:44 GMT+05:30 2018,04-Feb-2018 16:22:43.399,77.59306345,12.86058869,0.0,10.72,814.2913818359375,0.0,0.00375652,0.08300719,0.15720129,0.8875407,-,4,2.46153855,-,∞,0.34230334,231.08866882,0,38,-,30.58823586,772,0.00742603,1.29492378,21.58206177,-,-,47.72821426,0.00884051,10.72000027,814.29138184,0,12.86058903,77.59306335,16,-,28,5.07632065,0,7.44857168,-,13.42511272,-,0,21.0411644,0,0,4.70588255,-,2.03857923,49.05274963,5.75869846,0.03389083,12.98152542,44,26.79500008,17.22999954,-9.62367916,14,-
Sun Feb 04 16:22:49 GMT+05:30 2018,04-Feb-2018 16:22:48.399,77.59306368,12.86058996,0.0,10.72,814.4296875,0.0,-0.00604748,0.08257944,0.14219138,0.87991285,-,4,2.46153855,-,∞,0.34230334,231.08866882,0,38,-,30.58823586,772,0.00742603,1.29492378,21.58206177,-,-,47.72821426,0.00884051,10.72000027,814.4296875,0,12.86058998,77.59306335,11,-,28,5.07632065,0,7.44857168,-,13.42511272,-,0,21.0411644,0,0,4.70588255,-,2.03857923,49.05274963,5.75869846,0.03389083,12.98152542,49,26.79500008,22.22800064,-9.62367916,14,-
Sun Feb 04 16:23:04 GMT+05:30 2018,04-Feb-2018 16:23:03.399,77.59315816,12.86062655,0.75,9.648001,819.980712890625,85.0,1.00143814,-1.75242758,0.96509272,-0.12475003,-,4,2.46153855,-,∞,0.34230334,231.08866882,0,38,-,30.58823586,772,0.00742603,1.29492378,21.58206177,-,-,47.72821426,0.00884051,9.64800072,819.98071289,85,12.86062622,77.59315491,19,-,28,5.07632065,0,7.44857168,-,13.42511272,-,0,21.0411644,2.69999981,0,4.70588255,-,2.03857923,49.05274963,5.75869846,0.03542916,12.9830637,64,29.83499908,34.40499878,-9.62367916,13.89999962,-
Sun Feb 04 16:23:09 GMT+05:30 2018,04-Feb-2018 16:23:08.393,77.59319696,12.86062849,0.43,11.792,822.9697265625,52.6,-0.02144324,0.04584947,0.5260331,0.72347218,-,4,1.60000002,-,0.73286831,0.35926163,231.07409668,0,42,-,23.13725471,632,0.00790901,0.06488588,1.08143127,-,-,47.72732925,0.00941549,11.79199982,822.96972656,52.59999847,12.86062813,77.59320068,18,-,28,4.49617004,0,7.44824028,-,13.42571068,-,0,21.04022789,1.54799998,0,6.27450991,-,2.02169967,49.46230316,5.71101618,0.03542916,12.9830637,69,29.83499908,39.20800018,-10.49390602,13.80000019,-
