GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°C),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometric pressure (from vehicle)(psi),Cost per mile/km (Instant)($/km),Cost per mile/km (Trip)($/km),Distance to empty (Estimated)(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Rail Pressure(psi),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Sun Feb 04 15:07:17 GMT+05:30 2018,04-Feb-2018 15:07:16.187,77.593063,12.86056233,0.0,6.432,827.6484375,0.0,0.00881182,-0.07520358,0.56953698,0.72884154,21,-,-,12.90835857,-,-,-,0,28,-,-,1187.5,-,-,-,-,-,-,-,6.43200016,827.6484375,0,12.86056232,77.59306335,14,-,24,4.78624535,0,8.99787426,-,11.11350536,-,0,25.4177227,0,0,5.88235283,-,-,-,-,-,3.79621243,0,0,0,-8.12211323,14.10000038,-
Sun Feb 04 15:07:18 GMT+05:30 2018,04-Feb-2018 15:07:17.180,77.59306291,12.86056333,0.0,6.432,827.740478515625,0.0,-0.03859055,-0.01010098,0.54311645,0.6928426,21,-,-,12.90835857,-,-,-,0,28,-,-,1187.5,-,-,-,-,-,-,-,6.43200016,827.74047852,0,12.86056328,77.59306335,15,-,24,4.78624535,0,8.99787426,-,11.11350536,-,0,25.4177227,0,0,5.88235283,-,-,-,-,-,3.79621243,0,0,0,-8.12211323,13.89999962,-
Sun Feb 04 15:07:19 GMT+05:30 2018,04-Feb-2018 15:07:18.178,77.5930617,12.86056349,0.0,5.36,827.746826171875,0.0,0.00318549,0.04389585,0.40314934,0.81719005,21,-,0,12.90835857,-,-,-,0,28,-,27.45098114,1174.75,-,-,-,-,-,-,-,5.36000013,827.74682617,0,12.86056328,77.59306335,15,-,24,5.22135878,0,8.9973774,-,11.11411858,-,0,25.4163208,0,0,5.88235283,-,-,-,-,-,3.79621243,0,0,0,-7.6869998,13.89999962,-
Sun Feb 04 15:07:20 GMT+05:30 2018,04-Feb-2018 15:07:19.178,77.59306465,12.86056218,0.0,5.36,827.72265625,0.0,0.00632309,0.01857653,0.47514716,0.78650141,21,-,0,12.90835857,-,-,-,0,28,-,27.45098114,1174.75,-,-,-,-,-,-,-,5.36000013,827.72265625,0,12.86056232,77.59306335,15,-,24,5.22135878,0,8.9973774,-,11.11411858,-,0,25.4163208,0,0,5.88235283,-,-,-,-,-,3.79621243,0,0,0,-7.6869998,13.89999962,-
Sun Feb 04 15:07:21 GMT+05:30 2018,04-Feb-2018 15:07:20.181,77.59306464,12.86056527,0.0,5.36,827.954345703125,0.0,-0.26334739,-0.02828398,0.4522061,0.48051369,21,-,0,12.90835857,-,-,-,0,28,-,27.45098114,1174.75,-,-,-,-,-,-,-,5.36000013,827.9543457,0,12.86056519,77.59306335,15,-,24,5.22135878,0,8.9973774,-,11.11411858,-,0,25.4163208,0,0,5.88235283,-,-,-,-,-,3.79621243,0,0,0,-7.6869998,13.89999962,-
Sun Feb 04 15:07:22 GMT+05:30 2018,04-Feb-2018 15:07:21.178,77.59306613,12.86056673,0.0,5.36,828.123046875,0.0,0.03471107,-0.34336162,0.44689742,0.76734161,21,-,0,12.90835857,-,-,288.17184448,0,29,-,27.84313774,1149.75,0.00145302,-,-,-,-,49.27365875,0.00172979,5.36000013,828.12304688,0,12.86056709,77.59306335,15,-,24,4.931283,0,8.99688148,-,11.11473083,-,0,25.4149189,0,0,5.88235283,-,-,-,-,-,3.79621243,0,0,0,-7.97707558,13.89999962,-
Sun Feb 04 15:07:23 GMT+05:30 2018,04-Feb-2018 15:07:22.178,77.59306737,12.86056633,0.0,4.288,828.121826171875,0.0,-0.01646561,-0.26733834,0.4010137,0.75696999,21,-,0,12.90835857,-,-,288.15048218,0,29,-,27.84313774,1133.25,0.00196338,1.89866471,31.64441299,-,-,49.27272415,0.00233736,4.28800011,828.12182617,0,12.86056614,77.59307098,15,-,24,4.931283,0,8.99638653,-,11.11534309,-,0,25.41352081,0,0,5.88235283,-,-,-,-,-,3.79621243,0,0,0,-7.97707558,14,-
Sun Feb 04 15:07:24 GMT+05:30 2018,04-Feb-2018 15:07:23.179,77.59306737,12.86057265,0.0,5.36,828.607421875,0.0,0.06936555,-0.2523284,0.37984273,0.86685658,21,-,0,12.90835857,-,-,288.13110352,0,29,-,26.27450943,1175.5,0.00229227,1.81637549,30.27292633,-,-,49.27212143,0.00272889,5.36000013,828.60742188,0,12.86057281,77.59307098,15,-,24,4.78624535,0,8.99589157,-,11.1159544,-,0,25.41212273,0,0,5.88235283,-,-,-,-,-,3.79621243,0,0,0,-8.12211323,14.10000038,-
Sun Feb 04 15:07:25 GMT+05:30 2018,04-Feb-2018 15:07:24.178,77.59306716,12.86057298,0.0,5.36,828.641357421875,0.0,0.0003278,-0.21626882,0.40290511,0.78930742,21,-,0,12.90835857,-,-,288.1104126,0,30,-,26.27450943,1167.25,0.00274332,1.88409388,31.40156555,-,-,49.27129745,0.00326586,5.36000013,828.64135742,0,12.86057281,77.59306335,14,-,24,4.78624535,0,8.99539757,-,11.11656475,-,0,25.41072655,0,0,5.88235283,-,-,-,-,-,3.79621243,0,0,0,-8.12211323,14.10000038,-
Sun Feb 04 15:07:26 GMT+05:30 2018,04-Feb-2018 15:07:25.178,77.59306736,12.86057328,0.0,5.36,828.68017578125,0.0,0.03465996,-0.22352958,0.41278988,0.82164484,21,-,0,12.90835857,-,-,288.08831787,0,30,-,26.27450943,1167.25,0.00332741,1.87087083,31.18118095,-,-,49.27022552,0.0039612,5.36000013,828.68017578,0,12.86057281,77.59307098,14,-,24,4.78624535,0,8.99490356,-,11.1171751,-,0,25.40933228,0,0,5.88235283,-,-,-,-,-,3.79621243,0,0,0,-8.12211323,14,-
Sun Feb 04 15:07:27 GMT+05:30 2018,04-Feb-2018 15:07:26.178,77.59306736,12.86057339,0.0,5.36,828.685302734375,0.0,0.02315277,-0.23872149,0.42041618,0.80132622,21,-,0,12.90835857,-,-,288.08831787,0,30,-,26.27450943,1185,0.00332741,1.87087083,31.18118095,-,-,49.27022552,0.0039612,5.36000013,828.68530273,0,12.86057377,77.59307098,14,-,24,4.78624535,0,8.99490356,-,11.1171751,-,0,25.40933228,0,0,5.88235283,-,-,-,-,-,3.79621243,0,0,0,-8.12211323,14,-
Sun Feb 04 15:07:28 GMT+05:30 2018,04-Feb-2018 15:07:27.178,77.5930675,12.86057363,0.0,5.36,828.713134765625,0.0,0.02756093,-0.24897179,0.41614497,0.80553675,21,-,0,12.90835857,-,-,288.06607056,0,30,-,26.27450943,1203.25,0.00392924,1.8993206,31.6553421,-,-,49.26912308,0.00467766,5.36000013,828.71313477,0,12.86057377,77.59307098,15,-,24,4.78624535,0,8.99441147,-,11.1177845,-,0,25.40793991,0,0,5.88235283,-,-,-,-,-,3.79621243,0,0,0,-8.12211323,14,-
