GPS Time, Device Time, Longitude, Latitude,GPS Speed (Meters/second), Horizontal Dilution of Precision, Altitude, Bearing, Acceleration Sensor(Total)(g),Acceleration Sensor(X axis)(g),Acceleration Sensor(Y axis)(g),Acceleration Sensor(Z axis)(g),Ambient air temp(°C),Average trip speed(whilst moving only)(km/h),Average trip speed(whilst stopped or moving)(km/h),Barometric pressure (from vehicle)(psi),Cost per mile/km (Instant)($/km),Cost per mile/km (Trip)($/km),Distance to empty (Estimated)(km),Distance travelled with MIL/CEL lit(km),Engine Coolant Temperature(°C),Engine kW (At the wheels)(kW),Engine Load(%),Engine RPM(rpm),Fuel cost (trip)(cost),Fuel flow rate/hour(l/hr),Fuel flow rate/minute(cc/min),Fuel Level (From Engine ECU)(%),Fuel Rail Pressure(psi),Fuel Remaining (Calculated from vehicle profile)(%),Fuel used (trip)(l),GPS Accuracy(m),GPS Altitude(m),GPS Bearing(°),GPS Latitude(°),GPS Longitude(°),GPS Satellites,Horsepower (At the wheels)(hp),Intake Air Temperature(°C),Intake Manifold Pressure(psi),Kilometers Per Litre(Instant)(kpl),Kilometers Per Litre(Long Term Average)(kpl),Litres Per 100 Kilometer(Instant)(l/100km),Litres Per 100 Kilometer(Long Term Average)(l/100km),Mass Air Flow Rate(g/s),Miles Per Gallon(Instant)(mpg),Miles Per Gallon(Long Term Average)(mpg),Speed (GPS)(km/h),Speed (OBD)(km/h),Throttle Position(Manifold)(%),Torque(Nm),Trip average KPL(kpl),Trip average Litres/100 KM(l/100km),Trip average MPG(mpg),Trip Distance(km),Trip distance (stored in vehicle profile)(km),Trip Time(Since journey start)(s),Trip time(whilst moving)(s),Trip time(whilst stationary)(s),Turbo Boost & Vacuum Gauge(psi),Voltage (OBD Adapter)(V),Volumetric Efficiency (Calculated)(%)
Wed Mar 07 14:52:29 GMT+05:30 2018,07-Mar-2018 14:52:29.743,77.69114405,12.93296331,0.0,3.216,793.986328125,0.0,0.0020745,-0.00705077,0.4730722,0.78296125,-,-,0,13.19843388,-,-,233.14700317,0,48,-,16.86274529,857.5,0.00046,-,-,-,-,46.16514969,0.00054762,3.21600008,793.98632812,0,12.93296337,77.69114685,19,-,43,4.78624535,0,7.76940966,-,12.87072372,-,0,21.94748497,0,0,14.90196133,-,-,-,-,-,21.92515182,0,0,0,-8.41218853,11.39999962,-
Wed Mar 07 14:52:34 GMT+05:30 2018,07-Mar-2018 14:52:34.742,77.69114957,12.93297017,1.38,9.648001,792.767333984375,65.9,0.07006601,-0.01998575,0.38332069,0.8984614,-,-,0,13.19843388,-,-,233.12376404,0,49,-,23.13725471,832.5,0.00139071,1.18288291,19.71471405,-,-,46.16344452,0.0016556,9.64800072,792.76733398,65.90000153,12.93297005,77.69114685,18,-,44,4.35113192,0,7.76892185,-,12.87153149,-,0,21.94610596,4.96799994,0,14.11764717,-,-,-,-,-,21.92515182,0,0,0,-8.84730148,13.60000038,-
Wed Mar 07 14:52:39 GMT+05:30 2018,07-Mar-2018 14:52:39.742,77.69115522,12.93298982,0.59,9.648001,792.942626953125,38.1,-0.0164951,-0.0554356,0.40046465,0.79620105,-,-,0,13.19843388,-,-,233.10820007,0,49,-,22.35294151,826.5,0.00228239,1.14540792,19.09013176,-,-,46.16181183,0.00271713,9.64800072,792.94262695,38.09999847,12.93299007,77.69115448,21,-,44,4.35113192,0,7.76867819,-,12.87193489,-,0,21.94541931,2.12399983,0,14.11764717,-,-,-,-,-,21.92515182,0,0,0,-8.84730148,13.60000038,-
Wed Mar 07 14:52:44 GMT+05:30 2018,07-Mar-2018 14:52:44.743,77.69113371,12.93299399,0.0,9.648001,791.414306640625,0.0,0.01391795,-0.05384906,0.41181463,0.8245737,-,-,0,13.19843388,-,-,233.07855225,0,50,-,21.56862831,831.5,0.00430395,1.08479285,18.07988167,-,-,46.15811157,0.00512375,9.64800072,791.41430664,0,12.93299389,77.69113159,11,-,44,4.20609426,0,7.76831293,-,12.87253952,-,0,21.94438744,0,0,14.11764717,-,-,-,-,-,21.92515182,0,0,0,-8.99234009,13.80000019,-
Wed Mar 07 14:52:49 GMT+05:30 2018,07-Mar-2018 14:52:49.740,77.69112559,12.93300459,0.0,9.648001,793.536376953125,0.0,0.04399865,-0.17728037,0.44402918,0.82768458,-,-,0,13.19843388,-,-,233.06684875,0,50,-,21.17647171,824.5,0.00478072,1.0833565,18.05594063,-,-,46.15723801,0.00569133,9.64800072,793.53637695,0,12.93300438,77.69112396,14,-,45,4.20609426,0,7.76806974,-,12.87294292,-,0,21.94370079,0,0,14.11764717,-,-,-,-,-,21.92515182,0,0,0,-8.99234009,13.80000019,-
Wed Mar 07 14:52:54 GMT+05:30 2018,07-Mar-2018 14:52:54.739,77.69112204,12.9330055,0.0,9.648001,795.669189453125,0.0,0.00509497,-0.06104915,0.35683945,0.83726448,-,-,0,13.19843388,-,-,233.06684875,0,50,-,21.17647171,824.5,0.00478072,1.0833565,18.05594063,-,-,46.15723801,0.00569133,9.64800072,795.66918945,0,12.93300533,77.69112396,16,-,45,4.20609426,0,7.76806974,-,12.87294292,-,0,21.94370079,0,0,14.11764717,-,-,-,-,-,21.92515182,0,0,0,-8.99234009,13.80000019,-
Wed Mar 07 14:52:59 GMT+05:30 2018,07-Mar-2018 14:52:59.738,77.69112231,12.93300285,0.0,9.648001,796.032470703125,0.0,0.11592702,0.06781528,1.11091602,-0.02444022,-,-,0,13.19843388,-,-,233.04318237,0,51,-,21.56862831,837,0.0057629,1.07743645,17.95727539,-,-,46.15543747,0.0068606,9.64800072,796.0324707,0,12.93300247,77.69112396,17,-,45,4.20609426,0,7.76758432,-,12.87374783,-,0,21.9423275,0,0,14.11764717,-,-,-,-,-,21.92515182,0,0,0,-8.99234009,13.89999962,-
Wed Mar 07 14:53:04 GMT+05:30 2018,07-Mar-2018 14:53:04.739,77.69112174,12.93300232,0.0,9.648001,796.0322265625,0.0,0.00961541,-0.06812637,0.91200894,0.32687899,-,-,0,13.19843388,-,-,233.03019714,0,52,-,19.6078434,851.5,0.00638088,1.3418622,22.36437035,-,-,46.1543045,0.00759628,9.64800072,796.03222656,0,12.93300247,77.69112396,18,-,45,4.06105661,0,7.76734161,-,12.87415028,-,0,21.94164276,0,0,14.11764717,-,-,-,-,-,21.92515182,0,0,0,-9.13737679,13.80000019,-
Wed Mar 07 14:53:09 GMT+05:30 2018,07-Mar-2018 14:53:09.738,77.69112168,12.93300238,0.0,9.648001,796.21533203125,0.0,0.01609749,-0.07166497,0.92268693,0.318643,-,1,0.01851852,13.19843388,-,-,232.99476624,0,53,-,35.29411697,857.5,0.00863744,1.50467312,25.07788467,-,-,46.15017319,0.01028266,9.64800072,796.21533203,0,12.93300247,77.69112396,18,-,45,6.96181154,0,7.76685667,-,12.87495422,-,0,21.94027328,0,1,16.07843208,-,-,-,-,-,21.92515182,0,0.396,0,-6.23662233,13.60000038,-
Wed Mar 07 14:53:14 GMT+05:30 2018,07-Mar-2018 14:53:14.741,77.69111778,12.93300594,0.51,9.648001,797.12353515625,49.8,-0.00777154,-0.05464233,0.89620727,0.32151121,-,1.25,0.0877193,13.19843388,4.3607111,39.72848511,232.91700745,0,53,-,32.54901886,790.5,0.00967325,1.61041617,26.84026909,-,-,46.14827728,0.01151577,9.64800072,797.12353516,49.79999924,12.93300629,77.69111633,18,-,45,6.38166046,0.62094671,7.76236677,161.0410614,12.88240147,-,1.75408673,21.92758942,1.83599997,1,15.29411793,2.78462744,0.90830666,110.09268951,2.56583786,0.00173847,21.92688942,5,5.36399984,0,-6.81677341,13,-
Wed Mar 07 14:53:19 GMT+05:30 2018,07-Mar-2018 14:53:19.740,77.69110555,12.93301901,0.0,9.648001,799.25048828125,0.0,0.00279289,-0.03395819,0.9166472,0.30436569,-,1.14285719,0.12903225,13.19843388,1.8603307,7.70101929,232.61499023,0,54,-,23.92156982,805.5,0.01219092,1.23317051,20.55284119,-,-,46.14366531,0.014513,9.64800072,799.25048828,0,12.93301868,77.6911087,17,-,45,4.78624535,0,7.75529051,-,12.8941555,-,0,21.9076004,0,0,14.11764717,-,0.76069254,131.4564209,2.14884901,0.00254764,21.92769814,10,8.6789999,2.06599998,-8.41218853,13.80000019,-
Wed Mar 07 14:53:24 GMT+05:30 2018,07-Mar-2018 14:53:24.740,77.69109685,12.9330366,0.52,9.648001,798.77197265625,32.8,0.01040533,-0.07752273,0.90901935,0.33346936,-,1.14285719,0.125,13.19843388,∞,8.16042614,232.60102844,0,54,0.28003809,38.4313736,950,0.01291817,1.2947973,21.57995605,-,-,46.14233398,0.01537878,9.64800072,798.77197266,32.79999924,12.9330368,77.69109344,17,0.37553728,45,6.52669811,0,7.75504923,-,12.894557,-,0,21.90691757,1.87199986,3,15.68627453,-,0.75102061,133.14936829,2.12152719,0.00354139,21.92869186,15,10.66899967,4.69399977,-6.67173576,13,-
Wed Mar 07 14:53:29 GMT+05:30 2018,07-Mar-2018 14:53:29.741,77.69108987,12.93305604,0.39,9.648001,798.696044921875,7.4,0.01135105,-0.05067598,0.93452382,0.28239986,-,1.36363637,0.2173913,13.19843388,1.16000783,4.86817932,232.44477844,0,55,0.06920224,32.94117737,876,0.01587989,1.69803643,28.30060768,-,-,46.13690948,0.01890463,9.64800072,798.69604492,7.4000001,12.93305588,77.69109344,20,0.09280173,45,6.23662281,0.58890527,7.74853468,169.80307007,12.90539742,-,1.66357422,21.88851738,1.40399992,1,14.90196133,0.75435901,0.87887204,113.77984619,2.48268938,0.005385,21.93053627,20,14.92800045,5.43499994,-6.96181107,13.5,-
Wed Mar 07 14:53:34 GMT+05:30 2018,07-Mar-2018 14:53:34.741,77.69104195,12.93307903,0.91,9.648001,801.6434326171875,304.7,0.04830734,-0.16373567,0.95478016,0.29972893,-,1.64285719,0.31944445,13.19843388,3.04337025,4.71723747,232.2976532,0,56,0.64300418,34.90196228,822.5,0.01675993,1.73453164,28.90886116,-,-,46.13529587,0.0199523,9.64800072,801.64343262,304.70001221,12.93307877,77.69104004,21,0.86228281,45,5.22135878,1.72954345,7.74427414,57.81752396,12.91249752,-,4.88571596,21.8764801,3.27600002,6,14.50980377,4.73868132,0.92685908,107.88902283,2.61824584,0.01036375,21.93551445,25,19.83200073,5.43499994,-7.9770751,13.80000019,-
Wed Mar 07 14:53:39 GMT+05:30 2018,07-Mar-2018 14:53:39.745,77.69095109,12.9330895,1.99,9.648001,799.6707763671875,250.3,0.01174712,-0.12487008,0.92537165,0.28862315,-,2.68421054,0.66233766,13.19843388,0.3112106,1.93247914,232.11914062,0,57,0.38036862,19.6078434,900.5,0.01901907,1.13663626,18.94393921,-,-,46.13116074,0.02264175,9.64800072,799.67077637,250.30000305,12.93308926,77.69094849,21,0.51008272,45,3.91601896,5.2786417,7.74017572,18.94387245,12.91933441,-,14.91141701,21.8649025,7.16400003,6,14.11764717,3.98264742,1.74256623,57.38543701,4.92250347,0.01874264,21.94389343,30,25.03800011,5.43499994,-9.28241539,13.80000019,-
Wed Mar 07 14:53:44 GMT+05:30 2018,07-Mar-2018 14:53:44.740,77.69082586,12.93302587,4.32,9.648001,800.244140625,227.3,0.02010501,0.05988258,0.95044833,0.26464462,-,3.0454545,0.83749998,13.19843388,0.3293404,1.51916468,232.06533813,0,57,8.38949299,59.2156868,1210.5,0.01959825,1.11254811,18.54246902,-,-,46.13010025,0.02333126,9.64800072,800.24414062,227.30000305,12.93302631,77.69082642,20,11.25049496,45,12.18317032,4.49410963,7.73830557,22.25088501,12.92245674,-,12.69522476,21.85961914,15.55200005,15,21.17647171,-,2.05497646,48.66134644,5.80501795,0.03078639,21.95593834,35,30.02099991,5.43499994,-1.01526356,13.60000038,-
