"","Engine.RPM.rpm.","Speed..OBD..km.h.","Speed..GPS..km.h.","Miles.Per.Gallon.Instant..mpg.","Intake.Air.Temperature..C.","Trip.average.MPG.mpg.","Trip.average.KPL.kpl.","Litres.Per.100.Kilometer.Instant..l.100km.","Acceleration.Sensor.Total..g.","Horsepower..At.the.wheels..hp.","Average.trip.speed.whilst.moving.only..km.h.","Trip.Time.Since.journey.start..s.","Distance.to.empty..Estimated..km.","Fuel.Remaining..Calculated.from.vehicle.profile....","Fuel.used..trip..l.","Average.trip.speed.whilst.stopped.or.moving..km.h.","Miles.Per.Gallon.Long.Term.Average..mpg.","Kilometers.Per.Litre.Long.Term.Average..kpl.","Litres.Per.100.Kilometer.Long.Term.Average..l.100km."
"1",1042.75,11,"0",29.85590553,31,"29.85590553","10.56899071","9.46144485",-0.0080901,"4.6867609","4",8,NA,NA,NA,"4",20.44428444,7.23727655,13.81706524
"2",550,8,"0",38.82327652,31,"34.33959198","12.15621567","7.27604723",0.03077378,"1.52187514","7",12,NA,NA,NA,"7",20.4516449,7.23988199,13.81209183
"3",1099,15,"12.23999977",17.81985474,31,"28.83301163","10.20688629","15.85198116",-0.13268642,"3.02248693","8.25",18,NA,NA,NA,"8.25",20.45059204,7.23950911,13.81280327
"4",768.75,13,"9.61200047",50.09771347,31,"34.149189","12.08881283","5.6385808",0.12132596,"1.30961382","10.4285717",22,"220.87397766","46.93692398","0.00102987","10.4285717",20.46245384,7.24370909,13.80479527
"5",1191,9,"10.04399967",50.09771347,31,"34.149189","12.08881283","5.6385808",-0.09694556,NA,"10.625",28,"220.87397766","46.93692398","0.00102987","10.625",20.46245384,7.24370909,13.80479527
"6",986.75,13,"11.08799934",36.42107773,31,"34.13038635","12.08215714","7.75594854",-0.13909629,"2.51431847","10.54545498",33,"221.04985046","46.9366951","0.00117977","10.54545498",20.47335434,7.24756765,13.7974453
"7",974,13,"11.62799931",50.09771347,31,"36.52922821","12.93134689","5.6385808",-0.09064778,"1.40839553","10.83333302",38,"221.18055725","46.93435287","0.00270199","10.83333302",20.49193382,7.25414467,13.78493595
"8",1092,15,"14.36399937",52.02455139,31,"38.25093079","13.54082966","5.42974377",0.35504809,"0.93139875","11.53333378",43,"221.3019104","46.93298721","0.00359083","11.53333378",20.50452805,7.25860262,13.77647018
"9",1019.75,14,"14.90399933",57.39625168,31,"40.16546249","14.21857452","4.92157555",-0.08683864,NA,"11.94117641",48,"221.3019104","46.93298721","0.00359083","11.94117641",20.51925468,7.26381588,13.76658249
"10",903,13,"12.45599937",15.74948311,31,"38.86829758","13.75937748","17.93582726",-0.09304764,NA,"11.94736862",53,"221.69274902","46.92726517","0.00730781","11.94736862",20.52871895,7.26716614,13.76023579
"11",1248.75,16,"16.91999817",21.21265793,31,"37.5101738","13.27860165","13.31657791",0.10630906,"5.69463491","12.47619057",58,"221.66598511","46.92596054","0.00815608","12.47619057",20.5289917,7.26726294,13.76005268
"12",1008.25,13,"11.55599976",38.94639969,31,"38.67002869","13.68918991","7.25304556",0.0091507,"1.13858807","12.56521702",63,"221.87406921","46.92287064","0.01016569","12.56521702",20.55666924,7.27706099,13.74152565
"13",895.75,11,"7.74000025",16.38734055,31,"37.6000824","13.31042862","17.2376976",0.14900534,"1.43429267","12.39999962",68,"222.0370636","46.92139816","0.01112161","12.39999962",20.56342125,7.27945137,13.73701382
"14",1362.75,18,"0",11.87471867,31,"36.24611282","12.83112431","23.78835297",0.1233694,"4.20857477","12.75862026",73,"221.9924469","46.91576385","0.01478493","12.75862026",20.55996513,7.27822781,13.73932266
"15",918.5,16,"2.12399983",39.13600922,31,"37.98695374","13.44738102","7.21790504",-0.05191041,NA,"12.86666679",78,"222.15711975","46.91367722","0.01613994","12.86666679",20.58696556,7.28778553,13.72130394
"16",1157.75,12,"14.75999928",52.02455139,31,"39.71466064","14.05899048","5.42974377",0.0402788,NA,"13.12121201",83,"222.48356628","46.90947342","0.01887277","13.12121201",20.62414742,7.30094862,13.69656563
"17",1269.5,16,"15.29999924",24.60274315,31,"39.11018372","13.84500599","11.48164654",0.04249767,"3.40588284","13",88,"222.6146698","46.90873718","0.01935141","13",20.6257267,7.30150747,13.69551754
"18",834,9,"10.94399929",70.64470673,31,"40.32305145","14.27436066","3.9986012",0.09401538,NA,"13.02564144",93,"222.6146698","46.90873718","0.01935141","13.02564144",20.64556885,7.30853128,13.68235588
"19",1203,16,"17.42399979",14.58370113,31,"38.41787338","13.59992695","19.36956787",0.0151174,"6.10783529","13.04878044",98,"222.78657532","46.90339661","0.02282295","13.04878044",20.64002228,7.30656815,13.68603134
"20",651.75,11,"9.46800041",51.28486633,31,"39.67802429","14.04602051","5.50805759",-0.03437035,"1.11045241","13.04444408",103,"222.93606567","46.90187454","0.02381342","13.04444408",20.66907692,7.31685305,13.66679382
